id,name,city,iata,region
7240,Sleetmute Airport,Sleetmute,SLQ,Anchorage
7242,Healy River Airport,Healy,\N,Anchorage
7244,Klawock Seaplane Base,Klawock,\N,Anchorage
7245,Minchumina Airport,Lake Minchumina,LMA,Anchorage
7246,Manley Hot Springs Airport,Manley Hot Springs,MLY,Anchorage
7415,Eastern WV Regional Airport/Shepherd Field,Martinsburg,MRB,New York
7494,Rock Hill - York County Airport,Rock Hill,RKH,New York
7495,Allegheny County Airport,Pittsburgh,AGC,New York
7496,Cecil Airport,Jacksonville,VQQ,New York
7497,Fulton County Airport Brown Field,Atlanta,FTY,New York
7511,The Ohio State University Airport - Don Scott Field,Columbus,OSU,New York
7513,Addison Airport,Addison,ADS,Chicago
7514,Destin Executive Airport,Destin,DSI,Chicago
7522,Kinston Regional Jetport At Stallings Field,Kinston,ISO,New York
7523,First Flight Airport,Kill Devil Hills,FFA,New York
7579,Provo Municipal Airport,Provo,PVU,Denver
7580,Steamboat Springs Bob Adams Field,Steamboat Springs,SBS,Denver
7581,Delta Municipal Airport,Delta,DTA,Denver
7582,Richfield Municipal Airport,Richfield,\N,Denver
7583,Carbon County Regional/Buck Davis Field,Price,PUC,Denver
7584,Los Alamos Airport,Los Alamos,LAM,Denver
7586,Lake Havasu City Airport,Lake Havasu City,HII,Phoenix
7587,Winslow Lindbergh Regional Airport,Winslow,INW,Phoenix
7588,Douglas Municipal Airport,Douglas,DGL,Phoenix
7621,Bartow Municipal Airport,Bartow,BOW,New York
7629,Livermore Municipal Airport,Livermore,LVK,Los Angeles
7630,Mariposa Yosemite Airport,Mariposa,RMY,Los Angeles
7646,Jacqueline Cochran Regional Airport,Palm Springs,TRM,Los Angeles
7647,Santa Monica Municipal Airport,Santa Monica,SMO,Los Angeles
7648,Bermuda Dunes Airport,Palm Springs,UDD,Los Angeles
7649,Scottsdale Airport,Scottsdale,SCF,Phoenix
7650,Olympia Regional Airport,Olympia,OLM,Los Angeles
7651,Yolo County Davis Woodland Winters Airport,Davis-Woodland-Winters,\N,Los Angeles
7652,Garfield County Regional Airport,Rifle,RIL,Denver
7653,Shively Field,SARATOGA,SAA,Denver
7654,DeKalb Peachtree Airport,Atlanta,PDK,New York
7655,Monroe County Airport,Bloomington,BMG,New York
7656,Witham Field,Stuart,SUA,New York
7657,Morristown Municipal Airport,Morristown,MMU,New York
7658,Napa County Airport,Napa,APC,Los Angeles
7659,Brown Field Municipal Airport,San Diego,SDM,Los Angeles
7662,Venice Municipal Airport,Venice,VNC,New York
7663,Palm Beach County Glades Airport,Pahokee,PHK,New York
7669,Northwest Florida Beaches International Airport,Panama City,ECP,Chicago
7670,San Bernardino International Airport,San Bernardino,SBD,Los Angeles
7683,San Carlos Airport,San Carlos,SQL,Los Angeles
7690,Rocky Mount Wilson Regional Airport,Rocky Mount,RWI,New York
7691,Whittier Airport,Whittier,\N,Anchorage
7692,Soldotna Airport,Soldotna,SXQ,Anchorage
7693,Gillespie Field,El Cajon,SEE,Los Angeles
7694,San Clemente Island Naval Auxiliary Landing Field,San Clemente Island,\N,Los Angeles
7702,Truckee Tahoe Airport,Truckee,TKF,Los Angeles
7712,Cobb County-Mc Collum Field,Atlanta,\N,New York
7716,Dell Flight Strip,Dell,\N,Denver
7717,Mission Field,Livingston-Montana,LVM,Denver
7720,Big Timber Airport,Big Timber,\N,Denver
7721,Tulip City Airport,Holland,\N,New York
7727,Monument Valley Airport,Monument Valley,GMV,Denver
7729,West 30th St. Heliport,New York,JRA,New York
7732,Lakeland Linder International Airport,Lakeland,LAL,New York
7767,Indianola Municipal Airport,New York,\N,Chicago
7769,French Valley Airport,Murrieta-Temecula,RBK,Los Angeles
7775,Carl R Keller Field,Port Clinton,\N,New York
7776,Dayton-Wright Brothers Airport,Dayton,MGY,New York
7777,Richmond Municipal Airport,Richmond,\N,New York
7778,Findlay Airport,Findley,FDY,New York
7809,Black Hills Airport-Clyde Ice Field,Spearfish-South Dakota,SPF,Denver
7817,Olive Branch Airport,Olive Branch,OLV,Chicago
7822,Rocky Mountain Metropolitan Airport,Broomfield-CO,BJC,Denver
7826,Salem Municipal Airport/McNary Field,Salem,SLE,Los Angeles
7827,Tunica Municipal Airport,Tunica,UTM,Chicago
7839,Lawrence J Timmerman Airport,Milwaukee,MWC,Chicago
7840,Southern Wisconsin Regional Airport,Janesville,JVL,Chicago
7846,Arlington Municipal Airport,Arlington,\N,Chicago
7847,Gwinnett County Briscoe Field,Lawrenceville,LZU,New York
7848,Bowling Green Warren County Regional Airport,Bowling Green,BWG,Chicago
7849,Richard Lloyd Jones Jr Airport,Tulsa,RVS,Chicago
7857,Bryce Canyon Airport,Bryce Canyon,BCE,Denver
7859,Burlington Alamance Regional Airport,Burlington,\N,New York
7869,New Century Aircenter Airport,Olathe,JCI,Chicago
7870,Easton Newnam Field,Easton,ESN,New York
7875,Yuba County Airport,Yuba City,MYV,Los Angeles
7880,Halliburton Field,Duncan,DUC,Chicago
7885,Garner Field,Uvalde,UVA,Chicago
7886,Lewis University Airport,Lockport,LOT,Chicago
7888,Buchanan Field,Concord,CCR,Los Angeles
7889,Ocean Reef Club Airport,Ocean Reef Club Airport,OCA,New York
7907,Ohio University Snyder Field,Athens,ATO,New York
7908,Springfield-Beckley Municipal Airport,Springfield,SGH,New York
7925,Philip Billard Municipal Airport,Topeka,TOP,Chicago
7928,Benson Airstrip,Uvalde,\N,Chicago
7929,Rough River State Park Airport,Null,\N,Chicago
7930,Smyrna Airport,Smyrna,MQY,Chicago
7931,Franklin County Airport,Sewanee,UOS,Chicago
7935,Collin County Regional At Mc Kinney Airport,DALLAS,\N,Chicago
7936,Chicago Executive Airport,Chicago-Wheeling,PWK,Chicago
7938,Southwest Washington Regional Airport,Kelso,KLS,Los Angeles
7978,Wilmington Airpark,Wilmington,ILN,New York
7979,Marana Regional Airport,Tucson,AVW,Phoenix
7980,Casa Grande Municipal Airport,Casa Grande,CGZ,Phoenix
7981,Mobile Airport,Mobile,\N,Phoenix
7982,Buckeye Municipal Airport,Buckeye,BXK,Phoenix
7983,Gila Bend Municipal Airport,Gila Bend,\N,Phoenix
7984,McMinn County Airport,Athens,MMI,New York
7985,Sterling Municipal Airport,Sterling,STK,Denver
7986,Rawlins Municipal Airport/Harvey Field,Rawlins,RWL,Denver
7990,Essex County Airport,Caldwell,CDW,New York
7991,Lee C Fine Memorial Airport,Kaiser Lake Ozark,AIZ,Chicago
7998,Thomasville Regional Airport,Thomasville,TVI,New York
7999,Henderson Executive Airport,Henderson,HSH,Los Angeles
8005,Henry Tift Myers Airport,Tifton,TMA,New York
8030,Phoenix Deer Valley Airport,Phoenix ,DVT,Phoenix
8034,Republic Airport,Farmingdale,FRG,New York
8042,South Texas Regional Airport at Hondo,Hondo,\N,Chicago
8050,McKinley National Park Airport,McKinley Park,MCL,Anchorage
8051,Lake Hood Airport,Anchorage,\N,Anchorage
8052,Prospect Creek Airport,Prospect Creek,PPC,Anchorage
8062,Wheeling Ohio County Airport,Wheeling,HLG,New York
